,Actors,Awards,Country,Director,Genre,Language,Metascore,Plot,Ranking,Rated,Released,Response,Runtime,Title,Type,Writer,Year,imdbID,imdbRating,imdbVotes
0,"Cem Kurtoglu, Hakan Ural, Hazim Körmükçü, Tolga Karel",N/A,Turkey,Celal Çimen,"Crime, Mystery",Turkish,N/A,"This film is close to the Turkish political history where the past and political and social processes is currently located, parallel structure to the judiciary and police, December 17 to 25 to examine the operations that will see many more.",0,NOT RATED,13 Feb 2015,True,114 min,Code Name: K.O.Z.,movie,N/A,2015,tt4458206,1.7,"19,086"
1,"Kirk Cameron, Darren Doane, Bridgette Cameron, Ben Kientz",4 wins & 2 nominations.,USA,Darren Doane,"Comedy, Family",English,18,"Kirk is enjoying the annual Christmas party extravaganza thrown by his sister until he realizes he needs to help out Christian, his brother-in-law, who has a bad case of the bah-humbugs. ...",1,PG,14 Nov 2014,True,80 min,Saving Christmas,movie,"Darren Doane, Cheston Hervey",2014,tt4009460,1.5,"11,550"
2,"Jon Voight, Scott Baio, Vanessa Angel, Skyler Shaye",5 nominations.,"Germany, UK, USA",Bob Clark,"Comedy, Family, Sci-Fi",English,9,A group of smart-talking toddlers find themselves at the center of a media mogul's experiment to crack the code to baby talk. The toddlers must race against time for the sake of babies everywhere.,2,PG,27 Aug 2004,True,88 min,Superbabies: Baby Geniuses 2,movie,"Steven Paul (story), Gregory Poppen (screenplay)",2004,tt0270846,1.9,"25,422"
3,"Tom Neyman, John Reynolds, Diane Adelson, Harold P. Warren",N/A,USA,Harold P. Warren,Horror,English,N/A,"A family gets lost on the road and stumbles upon a hidden, underground, devil-worshiping cult led by the fearsome Master and his servant Torgo.",4,NOT RATED,15 Nov 1966,True,70 min,Manos: The Hands of Fate,movie,Harold P. Warren (screenplay),1966,tt0060666,1.9,"30,701"
4,"Paris Hilton, Paula Garcés, Sarah Carter, Simon Rex",1 nomination.,USA,"William Heins, Strathford Hamilton",Comedy,English,N/A,"At South Beach University, a beautiful sorority president takes in a group of unconventional freshman girls seeking acceptance into her house.",5,R,N/A,True,91 min,Pledge This!,movie,"Cheryl Guerriero, Anna Obropta",2006,tt0417056,1.9,"15,350"
5,"Alan Bagh, Whitney Moore, Tippi Hedren, Janae Caster",N/A,USA,James Nguyen,"Horror, Romance, Thriller",English,N/A,"A horde of mutated birds descends upon the quiet town of Half Moon Bay, California. With the death toll rising, Two citizens manage to fight back, but will they survive Birdemic?",7,NOT RATED,27 Feb 2010,True,105 min,Birdemic: Shock and Terror,movie,"James Nguyen (screenplay), James Nguyen (story)",2010,tt1316037,1.8,"14,573"
6,"Gunter Ziegler, Brandon Dean, Axel Montgomery, Phil Lander",N/A,USA,Ulli Lommel,Horror,English,N/A,A psychotic police officer who murders his female arrests gets what's coming to him when a horde of zombified women rise from their graves to seek revenge.,10,R,05 Oct 2004,True,81 min,Zombie Nation,movie,Ulli Lommel,2004,tt0463392,2.1,"7,595"
7,"Matt Lanter, Vanessa Lachey, Gary 'G. Thang' Johnson, Nicole Parker",1 win & 6 nominations.,USA,"Jason Friedberg, Aaron Seltzer",Comedy,English,15,"Over the course of one evening, an unsuspecting group of twenty-somethings find themselves bombarded by a series of natural disasters and catastrophic events.",11,PG-13,29 Aug 2008,True,87 min,Disaster Movie,movie,"Jason Friedberg, Aaron Seltzer",2008,tt1213644,1.9,"75,335"
8,"Charlie Sheen, Hilary Duff, Eva Longoria, Wayne Brady",N/A,USA,Lawrence Kasanoff,"Animation, Action, Comedy",English,N/A,The evil Brand X joins a supermarket that becomes a city after closing time.,12,PG,12 Feb 2013,True,91 min,Foodfight!,movie,"Lawrence Kasanoff (story), Joshua Wexler (story), Brent V. Friedman, Rebecca Swanson, Sean Catherine Derek",2012,tt0249516,1.7,"4,583"
9,"Kelly Clarkson, Justin Guarini, Katherine Bailess, Anika Noni Rose",2 wins & 15 nominations.,USA,Robert Iscove,"Comedy, Musical, Romance",English,14,"A waitress from Texas and a college student from Pennsylvania meet during spring break in Fort Lauderdale, Florida and come together through their shared love of singing.",13,PG,20 Jun 2003,True,81 min,From Justin to Kelly,movie,Kim Fuller,2003,tt0339034,2.1,"23,634"
